old_pecha_text_id,old_mongo_id,old_title,old_language,old_group_id,new_text_id,new_edition_id,new_stem,new_title,match_method,match_confidence,content_ratio,content_divergent,old_n_segments,old_catalog_rank,old_sibling_ids
YK3meGLcmDIcehnaKujvl,f4b5b0df-c8a1-4d33-9313-1b0731d24dc4,ཡན་ལག་བདུན་པ།,bo,96d3e0c0-b327-4f95-88c4-c2ed4be1a1b1,Tqh7WbzjdF9mxrIx9qGGT,BEviNp2GVbhwTAYVDoB1z,ཡན་ལག་བདུན་པ།,ཡན་ལག་བདུན་པ།,content-identical,1.0,1.0,False,13,4,0JnGbzGSj4McVGp5wDJNZ No3lX0bF3ZZnBVVBcDTCZ tuIkmdlYP27qkMI046D1o
TpvKk1bhq5l0Ql6AD9jcN,d5bd562a-c555-4a0e-9394-df90f6ba5ba8,ཡོན་ཏན་གཞིར་གྱུར་མ།,bo,db3a119e-06c7-4263-aa75-63b3f14381a7,48q7hw4yg2R9PUS5J8CNH,umHFVHWtijcQXeI3iKz5T,ཡོན་ཏན་གཞིར་གྱུར་མ་བཞུགས་སོ།,ཡོན་ཏན་གཞིར་གྱུར་མ་བཞུགས་སོ།,content-identical,1.0,1.0,False,14,57,O4spLEZF2ENJp3FNrzg21 I4rjKOpgMpI2MpuX2DADc lMiPfENuscSB50lBvKhSN
Vv0gGhceDeefr29zTcOak,8a9d081f-d79f-4c18-a514-b7b11fbb04aa,༄༅། །རི་བོ་བསངས་མཆོད་བཞུགས་སོ༔,bo,499145f1-26b1-4fcf-b522-b3fa2380a4e6,n5eiqIyerGkMQmOTYeIkM,1lvdqkJHXQp2bQWYrih6t,རི་བོ་བསངས་མཆོད་བཞུགས་སོ༔,༄༅། །རི་བོ་བསངས་མཆོད་བཞུགས་སོ༔,content-near-identical,0.9946,0.9946,False,62,94,
xOKuDt1o48Zzh8ROEReQL,c183902b-7b3e-412d-b82b-835f9ce252a4,༄༅། །རྒྱ་ནག་པོའི་སྐག་ཟློག་ཅེས་བྱ་བ་བཞུགས་སོ།།,bo,3d03be0a-9a93-4880-a4d6-dd4b80f4f6b9,Fm2iGjdufDtuFzNzQn4k2,2Vu7pa6WV6bQAmGSrgM9b,རྒྱ་ནག་པོའི་སྐག་ཟློག་ཅེས་བྱ་བ་བཞུགས་སོ།།,རྒྱ་ནག་པོའི་སྐག་ཟློག་ཅེས་བྱ་བ་བཞུགས་སོ།།,content-near-identical,0.9975,0.9975,False,195,68,
FAtBZHxk8RrXsAEZzBoe2,3aab29a4-ed0a-439c-bacc-520967c3ae34,རྒྱན་དྲུག་མཆོག་གཉིས་ཀྱི་བསྟོད་པ་མཁའ་མཉམ་མ།,bo,f1803599-b868-4f75-8f50-4fb592ee53bd,E1YX2Wf0EUTpO9t0FClyC,KPnocmcCZlZ251vr9T6uG,རྒྱན་དྲུག་མཆོག་གཉིས་ཀྱི་བསྟོད་པ་མཁའ་མཉམ་མ།,རྒྱན་དྲུག་མཆོག་གཉིས་ཀྱི་བསྟོད་པ་མཁའ་མཉམ་མ།,content-identical,1.0,1.0,False,41,28,
bs1X4drBtbNA3QjY4dRr1,a61ba1f4-13fc-4356-bd05-7d53b03a52b4,༄༅། ། རྒྱལ་བའི་དབང་པོ་ཀློང་ཆེན་རབ་འབྱམས་ལ་བསྟོད་པ།,bo,1cf591b7-3d72-4d5e-957f-36f2004f1a08,KZ1bKKD4sI6I6wvFtmDku,xMCh9GvJTCCj2BcHZ80j8,རྒྱལ་བའི་དབང་པོ་ཀློང་ཆེན་རབ་འབྱམས་ལ་བསྟོད་པ།,རྒྱལ་བའི་དབང་པོ་ཀློང་ཆེན་རབ་འབྱམས་ལ་བསྟོད་པ།,content-near-identical,0.992,0.992,False,52,,
LVP5nUeEvuVsiZfdVtYMc,157ed003-1b25-40d9-8ff8-35e138f41ca9,རྗེ་གསང་བའི་རྣམ་ཐར།,bo,cf8cdf74-2934-452c-a45d-0ff49d249320,xvMseI1k2T2XmoQ44LfK0,mnvLuXNYtmeWQYmIiMBcw,རྗེ་གསང་བའི་རྣམ་ཐར།,རྗེ་གསང་བའི་རྣམ་ཐར།,content-near-identical,0.9987,0.9987,False,200,93,
VQCeYTy5iSvJ8AnBoUiy9,2b15f7bb-e8ab-47b7-9f9c-214111c53d14,རྟེན་འབྲེལ་བསྟོད་པ།,bo,f6b1e524-7e7d-4054-a63a-7749c6a805d0,Xkc1mMeTE2DDxnMl9soTA,wjJ5a3Ay2TIeiaAyVww6c,རྟེན་འབྲེལ་བསྟོད་པ།,རྟེན་འབྲེལ་བསྟོད་པ།,content-near-identical,0.9996,0.9996,False,60,46,ltyvp7lflT9xJSFo2WQtz m7C9YJylPJlOGJEEbacmW 6kXUcE3afD6k6TVD6MQsE
MnPlQalo9AJriRE6MqWPL,0600bb25-8f17-44fa-a809-15b710bce538,༄༅། །རླུང་རྟ་ཡར་བསྐྱེད་བསངས་མཆོད་བཞུགས་སོ།།,bo,ec05dd4d-a1ee-45f1-b74d-e790107de343,AjHdjattoK0fqbz0d2sn3,dRvCnOEGrZe3A0ltC7vpd,རླུང་རྟ་ཡར་བསྐྱེད་བསངས་མཆོད་བཞུགས་སོ།,རླུང་རྟ་ཡར་བསྐྱེད་བསངས་མཆོད་བཞུགས་སོ།,content-near-identical,0.9914,0.9914,False,66,97,
x9yfRnTJgwH4NEGtoIsYJ,d5de76ec-c123-428f-b1b2-09e1c9b3f87b,ལམ་གཙོ་རྣམ་གསུམ།,bo,b3c9352a-fdd8-4e15-bbe7-ff97f30b26bc,6LNEfKQuYRkVjRnDTuvsy,RNYmYChxCvjbCz9ZwBxSY,ལམ་གཙོ་རྣམ་གསུམ།,ལམ་གཙོ་རྣམ་གསུམ།,content-near-identical,0.996,0.996,False,17,38,boCf3FKjRYhmPGF235EDe fgZdQX3AmDTAt69CTw5F9 oUqJyEZPiPNkww0aYkV1h
hC1Bp4sUkM02CVe9Kg80g,15db718e-6c0c-49f0-aad6-f31832ff1bbf,ལྷ་མོར་བསྟོད་པ་ཡན་ལག་བདུན་པ།,bo,c6e6f503-5c51-4326-a301-038c605be982,N3FFr4aBycwWNns1xnlAj,1jito0teYs1nCgu4PEehq,ལྷ་མོར་བསྟོད་པ་ཡན་ལག་བདུན་པ།,ལྷ་མོར་བསྟོད་པ་ཡན་ལག་བདུན་པ།,content-identical,1.0,1.0,False,8,50,hiQALH5EZZ3Vs2ntfJKss
yGBvMTnF3sWZ8AxjogVlN,596d645b-19c5-40e3-83ce-7bc352c4a8f6,སངས་རྒྱས་ཆོས་ཚོགས་མ།,bo,c562bb15-62b3-4fc3-862a-45f371bc3910,lkZrPg9nW1Tq1HDYpk0Nn,FnTM7nxmGHyjcSrm9Pk8b,སངས་རྒྱས་ཆོས་ཚོགས་མ།,སངས་རྒྱས་ཆོས་ཚོགས་མ།,content-variant,0.9393,0.9393,True,2,2,gVuqtvgbzbjwLAMmY3all XHHKwEe0LCS2DUrLoobuy 6GPSRncyxMzVEOl9LGINM R0VGsUyvIRBqQjhODEiY0
